# Rime user dictionary
#@/db_name	chaoqiang_yinxing.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	337
#@/user_id	881be20d-8ad9-4b8c-b3d2-9e4d79109605
a 	安	c=1 d=0.822835 t=337
al 	啊	c=16 d=6.93527 t=337
aojh 	安静	c=2 d=1.49279 t=337
aozy 	安装	c=1 d=0.810584 t=337
as 	暗	c=6 d=5.55387 t=337
asy 	暗	c=1 d=0.960789 t=337
auzs 	按照	c=1 d=0.860708 t=337
b 	不	c=28 d=13.7311 t=337
bix 	半	c=2 d=1.62125 t=337
bk 	百	c=2 d=1.6942 t=337
bkgs 	不过是	c=1 d=0.941765 t=337
bl 	别	c=3 d=2.21543 t=337
blm 	吧	c=4 d=2.91638 t=337
blnu 	别扭	c=1 d=0.869358 t=337
blsg 	别墅	c=1 d=1 t=337
bpcy 	补充	c=1 d=0.690734 t=337
bqj 	笨	c=1 d=0.647265 t=337
bum 	报	c=2 d=1.54212 t=337
burg 	播	c=1 d=0.970446 t=337
bwe 	版	c=1 d=0.951229 t=337
bwr 	兵	c=1 d=0.843665 t=337
cb 	草	c=2 d=1.97045 t=337
cd 	尘	c=2 d=1.38364 t=337
cis 	曾	c=1 d=0.900325 t=337
cj 	才	c=2 d=1.44264 t=337
cjmd 	聪明的	c=1 d=0.955997 t=337
cjms 	聪明	c=3 d=2.83039 t=337
cl 	吃	c=5 d=4.11099 t=337
cmqv 	出去	c=1 d=0.932394 t=337
coyv 	穿越	c=1 d=0.810584 t=337
cqqp 	重启	c=1 d=1 t=337
cuzf 	操作	c=1 d=0.869358 t=337
cvsy 	城市	c=1 d=1 t=337
cvv 	叉	c=1 d=0.806541 t=337
cx 	查	c=2 d=1.92774 t=337
cy 	次	c=1 d=1 t=337
cz 	错	c=1 d=1 t=337
d 	的	c=17 d=6.7232 t=337
da 	点	c=2 d=1.61316 t=337
dajh 	点击	c=1 d=0.895834 t=337
ddzm 	肚子	c=2 d=1.82283 t=337
dfqi 	当前	c=1 d=0.66365 t=337
